song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
526,On Our Own,0,Bobby Brown,2018-10-26,2018-10-26,1,496.0
527,One More Day,0,The Wood Brothers,2015-04-18,2024-09-20,13,58.62
528,One More Saturday Night,0,Grateful Dead,2014-12-20,2021-12-31,21,38.65
529,One Way Out,0,The Allman Brothers Band,2017-01-28,2017-07-08,2,343.5
530,Peaches En Regalia,0,Frank Zappa,2016-10-09,2019-09-06,7,100.57
531,Peggy-O,0,Grateful Dead,2015-02-20,2024-11-12,16,48.0
532,Pinche Gringo,1,Goose,2015-03-14,2015-03-14,1,765.0
533,Praise You,0,Fatboy Slim,2016-04-15,2024-06-30,9,90.75
534,Pumped Up Kicks,0,Foster The People,2016-11-23,2025-06-01,25,27.8
536,Red Bird,1,Goose,2022-01-29,2025-06-20,54,5.13
537,Red Red Wine,0,UB40,2018-12-22,2018-12-22,1,478.0
538,Rosa Lee McFall,0,Grateful Dead,2019-08-08,2024-09-06,3,144.0
539,Rosetta,0,Earl Hines,2014-12-20,2015-02-20,3,257.67
541,Same Old Shenanigans,1,Goose,2016-03-19,2025-06-15,57,12.82
542,Savin' The Day,0,Alessi Brothers,2018-10-27,2018-10-27,1,495.0
543,Sco-Mule,0,Government Mule ft. John Scofield,2014-11-26,2021-11-16,8,96.75
544,Secret Agent Man,0,Johnny Rivers,2018-07-12,2024-06-23,5,130.25
545,Shama Lama Ding Dong,0,Otis Day and The Knights,2016-10-09,2025-02-11,43,16.37
546,She Drives Me Crazy,0,Fine Young Cannibals,2017-08-19,2017-08-19,1,624.0
547,Shelter From The Storm,0,Bob Dylan,2020-06-28,2020-06-28,1,343.0
548,Shoe Dog,0,John Scofield,2014-11-26,2014-11-26,1,774.0
549,Short People,0,Randy Newman,2019-10-31,2019-12-13,3,138.0
550,Shout,0,The Isley Brothers,2014-12-20,2020-03-05,8,96.63
551,Sleepwalk,0,Santo & Johnny,2019-10-19,2024-06-16,4,104.0
552,Soul Bossa Nova,0,Quincy Jones,2018-07-12,2021-10-31,3,260.5
553,Soul Shakedown Party,0,Bob Marley,2016-10-09,2017-08-19,4,176.0
555,Spain,0,Chick Corea,2015-10-01,2024-06-25,4,185.75
556,Spanish Moon,0,Little Feat,2016-10-09,2017-10-02,2,352.0
557,Spirit Of The Dark Horse,1,Goose,2014-11-26,2025-06-11,36,21.5
558,State Of The Art (A.E.I.O.U.),0,Jim James,2020-09-17,2025-06-06,11,30.73
559,Stormy Monday,0,The Allman Brothers Band,2018-05-04,2018-05-04,1,542.0
560,Strokin',0,Clarence Carter,2018-04-21,2021-06-19,6,90.83
561,Summertime Blues,0,Eddie Cochran,2018-07-05,2018-07-05,1,523.0
562,Suzie Q,0,Creedence Clearwater Revival,2025-06-06,2025-06-06,1,12.0
563,Sweet Home Chicago,0,The Blues Brothers,2019-12-21,2019-12-21,1,396.0
564,Switchin',0,Wes Montgomery,2015-02-20,2024-09-03,27,28.44
565,Take On Me,0,A-Ha,2016-11-23,2024-10-26,9,77.22
566,Tennessee Jed,0,Grateful Dead,2014-11-26,2019-11-27,3,258.0
567,The Big Bang,0,Johnny Mandel,2018-07-05,2018-07-05,1,523.0
569,The Waking End,1,Goose,2014-11-21,2014-11-21,1,775.0
570,The Way It Is,0,Bruce Hornsby,2018-05-03,2025-06-04,40,13.58
571,These Boots Are Made For Walkin',0,Nancy Sinatra,2018-07-12,2018-07-12,1,521.0
572,This Old Sea,1,Goose,2014-12-20,2025-06-15,39,19.82
573,Tomorrow Never Knows,0,The Beatles,2019-12-21,2025-06-04,13,30.46
574,Travelers,1,Goose,2020-06-19,2025-05-30,28,12.5
575,Tried & Tempted,0,The Wood Brothers,2015-02-20,2015-02-20,1,768.0
576,Trouble,0,Elvis Presley,2019-11-27,2023-10-01,3,135.0
577,Turkish Hills,1,Goose,2018-08-02,2018-11-16,2,258.0
578,Turn On Your Love Light,0,Bobby Blue Bland,2016-04-20,2025-06-03,52,13.92
579,Two Tickets To Paradise,0,Eddie Money,2019-07-13,2019-07-13,1,436.0
580,Up On Cripple Creek,0,The Band,2016-04-15,2017-07-15,6,121.0
581,Use Me,0,Bill Withers,2014-11-21,2022-03-10,6,129.17
582,The W.S. Walcott Medicine Show,0,The Band,2018-03-15,2024-09-24,19,31.06
583,Wake Up,0,Arcade Fire,2015-02-20,2022-06-25,2,384.0
585,What The World Needs Now Is Love,0,Sergio Mendes,2018-07-12,2018-07-12,1,521.0
586,White Lights,1,Goose,2018-12-22,2025-02-13,73,7.13
587,Why Can't We Be Friends,0,War,2019-10-31,2019-10-31,1,414.0
