date,year,month,day,weekday,date_ec,venue,city,state,show_index_overall,show_index_withinyear,run_index,venue_full,link
07/19/06,2006,07,19,Wednesday,2006-07-19,SNOW KING AMPHITHEATRE,JACKSON,WY,2213,26,1894,"SNOW KING AMPHITHEATRE, JACKSON, WY",http://www.everydaycompanion.com/setlists/20060719a.asp
07/21/06,2006,07,21,Friday,2006-07-21,"STUDIO C, KBCO STUDIO",BOULDER,CO,2214,27,1895,"STUDIO C, KBCO STUDIO, BOULDER, CO",http://www.everydaycompanion.com/setlists/20060721a.asp
07/22/06,2006,07,22,Saturday,2006-07-22,WINTER PARK SKI AREA,WINTER PARK,CO,2215,28,1896,"WINTER PARK SKI AREA, WINTER PARK, CO",http://www.everydaycompanion.com/setlists/20060722a.asp
07/23/06,2006,07,23,Sunday,2006-07-23,WINTER PARK SKI AREA,WINTER PARK,CO,2216,29,1896,"WINTER PARK SKI AREA, WINTER PARK, CO",http://www.everydaycompanion.com/setlists/20060723a.asp
07/26/06,2006,07,26,Wednesday,2006-07-26,NOKIA THEATRE,GRAND PRAIRIE,TX,2217,30,1897,"NOKIA THEATRE, GRAND PRAIRIE, TX",http://www.everydaycompanion.com/setlists/20060726a.asp
07/28/06,2006,07,28,Friday,2006-07-28,MID-SOUTH COLISEUM,MEMPHIS,TN,2218,31,1898,"MID-SOUTH COLISEUM, MEMPHIS, TN",http://www.everydaycompanion.com/setlists/20060728a.asp
07/29/06,2006,07,29,Saturday,2006-07-29,MID-SOUTH COLISEUM,MEMPHIS,TN,2219,32,1898,"MID-SOUTH COLISEUM, MEMPHIS, TN",http://www.everydaycompanion.com/setlists/20060729a.asp
07/30/06,2006,07,30,Sunday,2006-07-30,FOX THEATER,ST. LOUIS,MO,2220,33,1899,"FOX THEATER, ST. LOUIS, MO",http://www.everydaycompanion.com/setlists/20060730a.asp
08/01/06,2006,08,01,Tuesday,2006-08-01,WFPK 91.9 STUDIOS,LOUISVILLE,KY,2221,34,1900,"WFPK 91.9 STUDIOS, LOUISVILLE, KY",http://www.everydaycompanion.com/setlists/20060801a.asp
08/01/06,2006,08,01,Tuesday,2006-08-01,THE PALACE THEATRE,LOUISVILLE,KY,2222,35,1901,"THE PALACE THEATRE, LOUISVILLE, KY",http://www.everydaycompanion.com/setlists/20060801b.asp
