song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
663,Jed Stone,1,Vasudo,2025-06-07,2025-06-07,1,4.0
676,Welcome To Delta,1,Goose,2021-05-09,2021-05-09,1,314.0
677,Moby,1,Goose,2021-05-08,2025-02-13,20,15.75
678,Doctor My Eyes,0,Jackson Browne,2021-05-04,2023-04-13,5,63.4
679,Tribute To Gold,0,Duke Herrington,2021-06-13,2022-02-02,4,155.5
681,Innocent Son,0,Fleet Foxes,2021-06-16,2021-06-16,1,309.0
684,Bingo Tour Theme,1,Goose,2021-07-03,2021-07-10,3,101.67
685,Please Forgive Me,0,David Gray,2021-08-21,2024-09-11,11,27.18
694,Dragonfly,1,Goose,2021-10-09,2023-04-27,7,41.86
709,2021,0,Vampire Weekend,2021-10-08,2021-12-31,3,147.0
710,The Old Man's Boat,1,Goose,2021-10-08,2025-06-03,28,10.5
711,Life On The Shelf,1,Goose,2021-10-09,2022-10-14,9,32.56
712,Dr. Darkness,1,Goose,2022-01-26,2025-05-28,41,6.66
714,Rockdale,1,Vasudo,2021-10-30,2025-06-12,68,4.39
716,Draggin' the Line,0,Tommy James,2021-10-31,2024-09-24,2,144.5
717,I'm A Believer,0,The Monkees,2021-10-31,2021-11-19,2,144.5
718,American Woman,0,The Guess Who,2021-10-31,2022-02-12,3,96.33
719,Magic Carpet Ride,0,Steppenwolf,2021-10-31,2024-06-18,11,28.9
720,Whip It,0,Devo,2021-10-31,2025-06-03,8,36.13
721,Just The Two Of Us,0,Bill Withers,2021-10-31,2021-10-31,1,289.0
723,Pancakes,1,Great Blue,2022-01-27,2025-06-12,62,5.04
725,Borne,1,Goose,2022-01-28,2025-05-27,44,6.3
727,Atlas Dogs,1,Goose,2022-01-28,2025-06-03,50,5.42
730,Circle Of Life,0,Elton John,2017-12-23,2021-12-31,3,193.0
731,Moonrise,1,Orebolo,2022-06-25,2024-11-10,3,77.0
732,Dim Lights,1,Orebolo,2024-11-10,2025-05-10,2,18.5
733,Arise,1,St. John's Revival,2022-01-30,2024-09-27,6,44.83
735,California Magic,1,Goose,2022-03-01,2025-06-01,45,5.73
736,Silver Rising,1,Goose,2022-02-02,2025-06-10,62,4.32
737,Jeff Engborg,1,Great Blue,2022-02-05,2025-06-11,12,22.08
738,Dripfield,1,Goose,2022-02-26,2025-06-10,59,4.47
739,Sinnerman,0,Nina Simone,2022-02-26,2025-06-07,13,19.92
740,Hungersite,1,Goose,2022-02-26,2025-06-04,66,3.92
741,Trevor Reads Poetry,1,Goose,2020-06-20,2025-05-31,7,48.86
747,Happy Birthday,0,Goose,2018-02-15,2020-10-15,6,92.83
760,Hallelujah,0,Leonard Cohen,2017-05-20,2017-05-20,1,650.0
762,Loose Ends,1,Vasudo,2019-09-01,2024-11-12,16,26.13
763,Butterflies,1,Great Blue,2022-06-10,2025-06-10,20,11.95
764,Animal,1,Goose,2022-06-11,2025-06-12,63,3.78
765,It's My Life,0,Talk Talk,2022-08-17,2022-08-17,1,223.0
766,Bloodbuzz Ohio,0,The National,2022-08-18,2025-02-06,9,24.67
767,Milestone 2 (Skux Life),0,Moniker,2022-08-18,2024-09-20,3,74.0
768,Don't Be Cruel,0,Elvis Presley,2022-08-20,2022-08-20,1,221.0
802,Jam,1,Goose,2014-11-21,2025-03-11,25,45.18
